# Parity manifest: which comparison tier each corpus input and
# observable is entitled to. Published evidence, regenerated by
# `zig build parity-manifest -Denable-oracle=true`; the portable
# gate lives in conformance/parity_expectations.tsv.
#
# Coordinate deviations are in bond lengths (one bond = 50 units)
# and are per-(architecture, toolchain, optimize-mode) values: they
# describe the build that produced this file, not a promise about
# any other build.
#
# member	bucket	atoms	status	clean_pose	arch_unstable	order_unstable	arch_max_dev_bl	order_max_dev_bl
adversarial/253	small	25	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/254	large	69	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/255	small	16	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/256	small	21	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/257	medium	46	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/258	small	13	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/259	small	21	ok	0	coordinates,component_transforms,component_transforms_set	-	0.003	0.000
adversarial/260	small	12	ok	0	coordinates,component_transforms,component_transforms_set	-	0.004	0.000
adversarial/261	small	15	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/262	small	10	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/263	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/264	huge	73	ok	0	coordinates,dofs,dofs_set,dof_penalties,dof_penalties_set,component_transforms,component_transforms_set	-	1.728	0.000
adversarial/265	medium	37	ok	0	coordinates,component_transforms,component_transforms_set	-	0.014	0.000
adversarial/266	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	6.056	0.000
adversarial/267	medium	34	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/268	medium	35	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/269	small	18	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/270	tiny	7	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/271	small	14	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/272	tiny	5	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/273	medium	44	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/274	small	12	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/275	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	0.011	0.000
adversarial/276	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	0.096	0.000
adversarial/277	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/278	medium	38	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
